Correlations
                 SelfIntroversion Talkative Reserved Energetic Enthusiastic Quiet Assertive   Shy Sociable Preference Intel Academic FeelIntro FeelExtro     D
SelfIntroversion             1.00      0.66    -0.64      0.54         0.60 -0.71      0.35 -0.55     0.74       0.51  0.01     0.15     -0.27      0.45 -0.49
Talkative                    0.66      1.00    -0.65      0.43         0.49 -0.64      0.34 -0.42     0.63       0.35  0.15     0.09     -0.15      0.34 -0.45
Reserved                    -0.64     -0.65     1.00     -0.38        -0.39  0.65     -0.38  0.54    -0.57      -0.35 -0.06    -0.12      0.24     -0.27  0.45
Energetic                    0.54      0.43    -0.38      1.00         0.75 -0.52      0.28 -0.35     0.49       0.24 -0.06    -0.10     -0.06      0.20 -0.34
Enthusiastic                 0.60      0.49    -0.39      0.75         1.00 -0.57      0.40 -0.43     0.61       0.13  0.01     0.00     -0.02      0.25 -0.31
Quiet                       -0.71     -0.64     0.65     -0.52        -0.57  1.00     -0.45  0.64    -0.69      -0.36 -0.10    -0.08      0.15     -0.45  0.38
Assertive                    0.35      0.34    -0.38      0.28         0.40 -0.45      1.00 -0.36     0.38       0.13 -0.16     0.03     -0.01      0.13 -0.17
Shy                         -0.55     -0.42     0.54     -0.35        -0.43  0.64     -0.36  1.00    -0.53      -0.42 -0.12     0.00      0.14     -0.48  0.33
Sociable                     0.74      0.63    -0.57      0.49         0.61 -0.69      0.38 -0.53     1.00       0.32  0.03     0.08     -0.19      0.40 -0.40
Preference                   0.51      0.35    -0.35      0.24         0.13 -0.36      0.13 -0.42     0.32       1.00  0.19     0.31     -0.34      0.47 -0.44
Intel                        0.01      0.15    -0.06     -0.06         0.01 -0.10     -0.16 -0.12     0.03       0.19  1.00     0.52     -0.11      0.15 -0.26
Academic                     0.15      0.09    -0.12     -0.10         0.00 -0.08      0.03  0.00     0.08       0.31  0.52     1.00     -0.13      0.15 -0.22
FeelIntro                   -0.27     -0.15     0.24     -0.06        -0.02  0.15     -0.01  0.14    -0.19      -0.34 -0.11    -0.13      1.00      0.16  0.39
FeelExtro                    0.45      0.34    -0.27      0.20         0.25 -0.45      0.13 -0.48     0.40       0.47  0.15     0.15      0.16      1.00 -0.20
D                           -0.49     -0.45     0.45     -0.34        -0.31  0.38     -0.17  0.33    -0.40      -0.44 -0.26    -0.22      0.39     -0.20  1.00


P-values

                 SelfIntroversion    Talkative     Reserved    Energetic Enthusiastic        Quiet   Assertive          Shy     Sociable   Preference        Intel     Academic    FeelIntro   FeelExtro           D
SelfIntroversion     0.000000e+00 6.838429e-08 1.642627e-07 1.000728e-04 4.324818e-06 5.409582e-10 0.163863689 5.624026e-05 4.401457e-11 0.0005949194 1.000000e+00 1.0000000000 0.9487138998 0.008349711 0.001388528
Talkative            6.770722e-10 0.000000e+00 8.199339e-08 1.237167e-02 1.607235e-03 2.136111e-07 0.197386830 1.868946e-02 5.921868e-07 0.1638636894 1.000000e+00 1.0000000000 1.0000000000 0.196532732 0.006058676
Reserved             1.676150e-09 8.199339e-10 0.000000e+00 6.338469e-02 5.601182e-02 1.008661e-07 0.063384694 1.255659e-04 1.840592e-05 0.1638636894 1.000000e+00 1.0000000000 1.0000000000 0.948713900 0.007865204
Energetic            1.124413e-06 1.718288e-04 1.006106e-03 0.000000e+00 6.434853e-12 3.122402e-04 0.852727048 1.638637e-01 1.460187e-03 1.0000000000 1.000000e+00 1.0000000000 1.0000000000 1.000000000 0.220584522
Enthusiastic         4.650342e-08 1.984240e-05 8.617204e-04 6.128431e-14 0.000000e+00 1.798789e-05 0.034945746 1.650706e-02 2.468541e-06 1.0000000000 1.000000e+00 1.0000000000 1.0000000000 1.000000000 0.408108464
Quiet                5.252021e-12 2.202177e-09 1.018850e-09 3.630701e-06 1.955206e-07 0.000000e+00 0.007552225 2.612681e-07 2.574823e-09 0.1256442539 1.000000e+00 1.0000000000 1.0000000000 0.006191987 0.064437448
Assertive            2.874802e-03 3.870330e-03 1.014624e-03 1.894949e-02 5.240024e-04 9.937138e-05 0.000000000 1.307736e-01 6.338469e-02 1.0000000000 1.000000e+00 1.0000000000 1.0000000000 1.000000000 1.000000000
Shy                  6.248917e-07 2.669923e-04 1.426886e-06 2.889724e-03 2.324938e-04 2.721543e-09 0.002254717 0.000000e+00 1.995827e-04 0.0187578025 1.000000e+00 1.0000000000 1.0000000000 0.002171454 0.255863719
Sociable             4.232170e-13 6.233545e-09 2.022628e-07 1.780716e-05 2.626107e-08 2.524336e-11 0.001034156 2.294054e-06 0.000000e+00 0.3759298236 1.000000e+00 1.0000000000 1.0000000000 0.034945746 0.034945746
Preference           7.082374e-06 2.895329e-03 2.928371e-03 4.475121e-02 2.905957e-01 2.129564e-03 0.293874033 2.718522e-04 7.831871e-03 0.0000000000 1.000000e+00 0.4027055580 0.1965327318 0.002945152 0.012197622
Intel                9.444235e-01 2.027915e-01 5.946668e-01 5.972977e-01 9.191665e-01 4.076261e-01 0.191324048 3.371954e-01 8.338259e-01 0.1195434755 0.000000e+00 0.0003791681 1.0000000000 1.000000000 1.000000000
Academic             2.181434e-01 4.596796e-01 3.152986e-01 3.935080e-01 9.820724e-01 5.030918e-01 0.780334000 9.757055e-01 5.148549e-01 0.0085682034 4.460801e-06 0.0000000000 1.0000000000 1.000000000 1.000000000
FeelIntro            2.156168e-02 2.112123e-01 4.510514e-02 5.963140e-01 8.981348e-01 2.132640e-01 0.964809673 2.372325e-01 1.229963e-01 0.0037081648 3.854441e-01 0.2686587095 0.0000000000 1.000000000 0.058159193
FeelExtro            1.128339e-04 3.765872e-03 2.163351e-02 9.221507e-02 3.872254e-02 8.041541e-05 0.277763075 2.714317e-05 5.139080e-04 0.0000372804 2.198649e-01 0.2203553221 0.1879439791 0.000000000 1.000000000
D                    1.672926e-05 7.767533e-05 1.048694e-04 4.411690e-03 8.871923e-03 1.073957e-03 0.158023611 5.221709e-03 5.163104e-04 0.0001670907 3.213622e-02 0.0718130777 0.0009087374 0.101380772 0.000000000
