phase,data/0/acc,data/0/rt,data/0/word,data/1/acc,data/1/rt,data/1/word,data/2/acc,data/2/rt,data/2/word,data/3/acc,data/3/rt,data/3/word,data/4/acc,data/4/rt,data/4/word,data/5/acc,data/5/rt,data/5/word,data/6/acc,data/6/rt,data/6/word,data/7/acc,data/7/rt,data/7/word,data/8/acc,data/8/rt,data/8/word,data/9/acc,data/9/rt,data/9/word,data/10/acc,data/10/rt,data/10/word,data/11/acc,data/11/rt,data/11/word,data/12/acc,data/12/rt,data/12/word,data/13/acc,data/13/rt,data/13/word,data/14/acc,data/14/rt,data/14/word,data/15/acc,data/15/rt,data/15/word,data/16/acc,data/16/rt,data/16/word,data/17/acc,data/17/rt,data/17/word,data/18/acc,data/18/rt,data/18/word,data/19/acc,data/19/rt,data/19/word,ip,time
5,1,991,Extrovert,1,684,Quiet,1,618,Sociable,1,630,Unintelligent,1,559,Outgoing,1,522,Introvert,1,598,Bright,1,590,Reserved,1,576,Intelligent,1,580,Fool,1,550,Smart,1,681,Dumb,1,548,Talkative,1,587,Idiotic,1,544,Energetic,1,375,Stupid,0,334,Ignorant,1,732,Communicative,1,614,Soft Spoken,1,494,Brilliant,159.242.248.67,2015-09-07 16:50:30 -04:00
5,1,5858,Shy,1,746,Reserved,1,597,Genius,1,1022,Wise,1,630,Idiotic,1,685,Unintelligent,1,726,Sociable,1,590,Outgoing,1,1088,Energetic,1,871,Intelligent,1,624,Smart,1,595,Communicative,1,715,Talkative,1,551,Brilliant,1,774,Soft Spoken,1,929,Extrovert,1,618,Bright,1,651,Fool,1,646,Ignorant,1,678,Quiet,159.242.177.180,2015-09-07 21:16:02 -04:00
5,1,1205,Shy,1,765,Ignorant,1,867,Introvert,1,724,Energetic,1,836,Idiotic,1,958,Stupid,1,827,Extrovert,1,673,Fool,1,777,Quiet,1,810,Outgoing,1,890,Soft Spoken,1,685,Dumb,1,755,Unintelligent,1,708,Talkative,1,774,Reserved,1,645,Brilliant,1,772,Introspective,1,750,Bright,1,724,Wise,1,652,Communicative,159.242.207.237,2015-09-08 00:43:26 -04:00
5,1,4617,Ignorant,1,1018,Talkative,1,1089,Quiet,1,1494,Genius,1,2446,Energetic,1,778,Wise,1,566,Outgoing,1,1014,Extrovert,1,539,Brilliant,1,531,Intelligent,0,502,Introspective,1,789,Smart,1,534,Bright,1,1065,Sociable,1,619,Communicative,1,518,Unintelligent,1,566,Shy,1,470,Fool,1,536,Reserved,1,576,Dumb,159.242.69.8,2015-09-08 11:17:59 -04:00
5,1,851,Extrovert,1,674,Outgoing,1,632,Shy,1,641,Idiotic,1,685,Energetic,1,582,Sociable,1,601,Stupid,1,698,Quiet,1,961,Smart,1,648,Communicative,1,699,Unintelligent,1,591,Bright,1,632,Intelligent,1,609,Genius,1,779,Reserved,1,736,Brilliant,1,832,Introspective,1,591,Wise,1,606,Fool,1,562,Talkative,50.90.98.196,2015-09-09 23:01:10 -04:00
5,1,899,Fool,1,1582,Intelligent,1,1462,Talkative,1,1242,Brilliant,1,1174,Bright,1,1207,Outgoing,1,662,Introspective,1,575,Stupid,1,1400,Wise,1,1246,Reserved,1,666,Soft Spoken,1,858,Genius,1,1250,Unintelligent,1,1022,Introvert,1,910,Ignorant,1,742,Communicative,1,646,Shy,1,824,Dumb,1,902,Sociable,1,1128,Idiotic,159.242.64.37,2015-09-12 13:59:11 -04:00
5,1,1597,Introspective,0,752,Ignorant,0,3437,Fool,1,2635,Introvert,1,2009,Unintelligent,1,1729,Extrovert,1,1392,Dumb,1,1064,Stupid,1,667,Communicative,1,656,Shy,1,636,Quiet,1,1626,Idiotic,1,773,Smart,1,2400,Wise,1,638,Energetic,1,582,Soft Spoken,1,529,Reserved,0,483,Brilliant,1,757,Talkative,1,515,Genius,159.242.201.16,2015-09-13 14:57:15 -04:00
5,1,2880,Brilliant,1,1132,Wise,1,1217,Outgoing,1,656,Genius,1,1033,Stupid,1,1450,Sociable,1,1257,Energetic,1,817,Smart,1,1289,Intelligent,1,1113,Talkative,1,762,Bright,1,664,Communicative,1,1057,Ignorant,1,801,Soft Spoken,1,809,Extrovert,1,866,Introvert,1,2098,Quiet,1,1329,Unintelligent,1,778,Reserved,1,817,Introspective,159.242.176.115,2015-09-14 20:22:42 -04:00
5,1,660,Fool,1,784,Quiet,1,624,Brilliant,1,913,Ignorant,1,589,Smart,1,1488,Communicative,1,820,Extrovert,1,658,Introvert,1,1166,Bright,1,586,Dumb,1,1033,Unintelligent,1,812,Sociable,1,745,Wise,1,581,Idiotic,1,693,Genius,1,955,Reserved,1,1176,Energetic,1,899,Talkative,1,692,Outgoing,1,725,Intelligent,172.0.20.92,2015-09-14 20:58:51 -04:00
5,1,1746,Idiotic,1,5449,Intelligent,1,2233,Outgoing,1,1161,Fool,1,894,Communicative,1,701,Sociable,1,1438,Soft Spoken,1,965,Quiet,1,785,Bright,1,688,Dumb,1,1757,Introspective,1,1624,Ignorant,1,939,Introvert,1,1027,Unintelligent,1,2681,Genius,1,850,Shy,1,724,Talkative,1,1040,Stupid,1,800,Smart,1,681,Extrovert,159.242.67.76,2015-09-15 08:00:40 -04:00
