phase,data/0/acc,data/0/rt,data/0/word,data/1/acc,data/1/rt,data/1/word,data/2/acc,data/2/rt,data/2/word,data/3/acc,data/3/rt,data/3/word,data/4/acc,data/4/rt,data/4/word,data/5/acc,data/5/rt,data/5/word,data/6/acc,data/6/rt,data/6/word,data/7/acc,data/7/rt,data/7/word,data/8/acc,data/8/rt,data/8/word,data/9/acc,data/9/rt,data/9/word,data/10/acc,data/10/rt,data/10/word,data/11/acc,data/11/rt,data/11/word,data/12/acc,data/12/rt,data/12/word,data/13/acc,data/13/rt,data/13/word,data/14/acc,data/14/rt,data/14/word,data/15/acc,data/15/rt,data/15/word,data/16/acc,data/16/rt,data/16/word,data/17/acc,data/17/rt,data/17/word,data/18/acc,data/18/rt,data/18/word,data/19/acc,data/19/rt,data/19/word,ip,time
2,1,968,Brilliant,1,749,Ignorant,1,566,Wise,1,638,Fool,1,622,Dumb,1,563,Genius,1,590,Bright,1,534,Smart,1,598,Intelligent,1,678,Unintelligent,1,818,Idiotic,1,651,Stupid,1,766,Intelligent,1,590,Unintelligent,1,678,Bright,1,582,Stupid,1,838,Ignorant,1,758,Genius,1,782,Dumb,1,558,Fool,159.242.248.67,2015-09-07 16:48:39 -04:00
2,1,2489,Ignorant,1,902,Intelligent,1,825,Dumb,1,672,Smart,1,730,Fool,1,648,Stupid,1,715,Wise,1,823,Brilliant,1,1466,Genius,1,677,Idiotic,1,932,Unintelligent,1,1442,Bright,1,873,Intelligent,1,772,Bright,1,553,Stupid,1,1020,Unintelligent,1,1767,Wise,1,668,Dumb,1,945,Smart,1,1050,Brilliant,159.242.177.180,2015-09-07 21:13:27 -04:00
2,1,959,Idiotic,1,750,Fool,1,753,Brilliant,1,676,Intelligent,1,690,Smart,0,791,Ignorant,1,1625,Bright,1,919,Genius,1,758,Wise,1,768,Unintelligent,1,764,Stupid,1,678,Dumb,1,712,Genius,1,749,Wise,1,749,Ignorant,1,719,Stupid,1,675,Fool,1,717,Unintelligent,1,677,Idiotic,1,631,Brilliant,159.242.207.237,2015-09-08 00:40:42 -04:00
2,1,1108,Dumb,1,770,Genius,1,1038,Unintelligent,1,590,Intelligent,1,590,Bright,1,515,Brilliant,1,480,Smart,1,526,Wise,1,510,Idiotic,1,496,Fool,1,527,Stupid,1,457,Ignorant,1,520,Dumb,1,486,Idiotic,1,561,Ignorant,1,478,Fool,1,569,Smart,1,1049,Unintelligent,1,838,Wise,1,614,Genius,159.242.69.8,2015-09-08 11:15:48 -04:00
2,1,738,Unintelligent,1,613,Genius,1,511,Bright,1,547,Dumb,1,454,Smart,1,637,Ignorant,0,513,Stupid,1,661,Fool,1,697,Idiotic,1,478,Brilliant,1,513,Intelligent,1,588,Wise,1,456,Smart,1,604,Ignorant,1,616,Brilliant,1,706,Bright,1,737,Intelligent,1,539,Fool,1,572,Wise,1,454,Dumb,50.90.98.196,2015-09-09 22:58:30 -04:00
2,1,1015,Brilliant,1,718,Smart,1,742,Fool,1,1462,Intelligent,1,854,Idiotic,1,646,Wise,1,583,Bright,1,691,Stupid,1,705,Genius,1,779,Unintelligent,1,722,Ignorant,1,662,Dumb,1,702,Ignorant,1,678,Dumb,1,625,Smart,1,839,Bright,1,1294,Intelligent,1,664,Fool,1,750,Unintelligent,1,658,Wise,159.242.64.37,2015-09-12 13:56:35 -04:00
2,1,1284,Dumb,1,937,Genius,1,615,Brilliant,1,1086,Intelligent,1,558,Fool,1,551,Idiotic,1,641,Smart,1,984,Wise,1,572,Bright,1,1046,Unintelligent,1,943,Stupid,1,861,Ignorant,1,797,Smart,1,1115,Wise,1,808,Idiotic,1,936,Brilliant,1,1025,Unintelligent,1,2111,Intelligent,1,684,Bright,1,591,Stupid,159.242.201.16,2015-09-13 14:53:34 -04:00
2,1,1040,Fool,1,818,Intelligent,1,732,Stupid,1,887,Unintelligent,1,896,Ignorant,1,673,Dumb,1,665,Idiotic,1,809,Wise,1,769,Smart,1,737,Bright,1,681,Brilliant,1,720,Genius,1,729,Stupid,1,658,Idiotic,1,785,Wise,1,737,Genius,1,665,Smart,1,569,Dumb,1,618,Bright,0,1097,Ignorant,159.242.176.115,2015-09-14 20:19:04 -04:00
2,1,1177,Unintelligent,1,517,Stupid,1,477,Dumb,1,555,Ignorant,1,522,Idiotic,1,607,Fool,1,554,Intelligent,1,505,Bright,1,733,Genius,1,486,Smart,1,483,Wise,1,489,Brilliant,1,656,Idiotic,1,456,Stupid,1,537,Fool,1,556,Ignorant,1,555,Smart,1,633,Unintelligent,1,562,Dumb,1,551,Wise,172.0.20.92,2015-09-14 20:55:09 -04:00
2,1,1521,Brilliant,1,675,Genius,1,778,Stupid,1,764,Wise,1,660,Bright,1,751,Dumb,1,853,Fool,1,600,Smart,1,615,Intelligent,1,1021,Ignorant,1,979,Unintelligent,1,790,Idiotic,1,716,Wise,1,744,Stupid,1,803,Genius,1,710,Idiotic,1,866,Bright,1,776,Unintelligent,1,812,Intelligent,1,757,Fool,159.242.67.76,2015-09-15 07:57:35 -04:00
2,0,5452,Smart,1,1153,Wise,1,1033,Idiotic,1,680,Fool,1,542,Ignorant,1,619,Unintelligent,0,638,Genius,1,627,Intelligent,1,502,Brilliant,1,462,Bright,1,563,Stupid,1,518,Dumb,1,722,Smart,1,697,Dumb,1,673,Unintelligent,1,578,Idiotic,1,550,Ignorant,1,592,Fool,0,482,Bright,1,748,Genius,159.242.70.91,2015-09-15 13:46:07 -04:00
2,1,1013,Stupid,1,561,Idiotic,1,485,Dumb,1,507,Ignorant,1,514,Fool,1,467,Brilliant,1,552,Unintelligent,1,877,Bright,1,496,Genius,0,532,Wise,1,367,Smart,1,583,Intelligent,1,410,Smart,1,467,Idiotic,0,501,Unintelligent,1,641,Bright,1,590,Wise,1,537,Brilliant,1,504,Genius,1,545,Ignorant,50.90.101.45,2015-09-15 15:44:54 -04:00
2,1,985,Smart,1,616,Ignorant,1,646,Idiotic,1,780,Intelligent,1,740,Bright,1,785,Brilliant,1,617,Fool,1,846,Wise,1,624,Genius,1,604,Dumb,1,671,Unintelligent,1,528,Stupid,1,532,Genius,1,595,Idiotic,1,566,Brilliant,1,615,Intelligent,1,575,Stupid,1,535,Bright,1,600,Fool,1,581,Smart,159.242.254.204,2015-09-15 18:31:30 -04:00
